UID,CommentsMade,PostsMade,CommentsReceived,AdjTopicPopularity,TA,TB,TC,TD,TE
U0,21,0,0,121.6,T4,T49,T32,T31,T8
U1,20,9,109,97.4,T8,T32,T46,T28,T31
U2,216,0,0,91,T23,T8,T48,T4,T17
U3,49,0,0,78.2,T48,T4,T16,T45,T28
U4,9,2,7,58,T22,T32,T28,T7,T15
U5,18,0,0,97.2,T4,T8,T3,T10,T32
U6,13,0,0,68.6,T32,T46,T28,T48,T3
U7,11,7,95,98,T15,T32,T4,T3,T31
U8,32,6,113,90.6,T8,T4,T28,T17,T30
U9,243,1,1,84.6,T8,T25,T32,T12,T31
U10,65,10,61,81.2,T8,T38,T31,T43,T48
U11,22,1,115,67,T3,T30,T8,T12,T31
U12,58,12,129,63,T8,T31,T40,T5,T46
U13,6,1,12,106.4,T31,T7,T4,T32,T41
U14,20,0,0,104.2,T32,T26,T36,T4,T8
U15,8,5,41,85.6,T45,T19,T32,T4,T28
U16,53,1,11,117,T31,T8,T48,T4,T40
U17,8,1,7,83.4,T32,T7,T44,T4,T0
U18,7,0,0,127.2,T4,T30,T31,T32,T8
U19,102,5,88,115.4,T31,T48,T4,T22,T8
U20,10,0,0,80.8,T45,T4,T30,T32,T19
U21,61,3,31,120.6,T32,T9,T8,T48,T4
U22,5,0,0,80.4,T16,T31,T32,T28,T7
U23,14,0,0,75.4,T31,T8,T28,T17,T45
U24,7,3,33,72.2,T18,T32,T31,T36,T9
U25,3,0,13,88.8,T30,T32,T7,T38,T4
U26,19,1,4,73.4,T28,T32,T8,T12,T14
U27,9,0,0,60.8,T48,T31,T7,T34,T14
U28,37,4,123,61.6,T22,T48,T31,T9,T21
U29,10,0,0,90.6,T4,T39,T48,T31,T38
U30,86,8,100,95.2,T8,T15,T31,T4,T16
U31,17,6,11,90.4,T48,T8,T17,T32,T7
U32,17,4,84,43.2,T8,T43,T44,T36,T45
U33,56,16,148,44.6,T30,T17,T19,T8,T42
U34,24,2,17,73.8,T4,T30,T41,T34,T48
U35,84,22,240,93.4,T26,T48,T4,T49,T32
U36,17,0,0,110.6,T8,T41,T4,T28,T32
U37,7,0,0,48.8,T32,T41,T40,T29,T9
U38,21,3,23,73.8,T8,T17,T14,T4,T18
U39,15,0,0,76.2,T31,T4,T12,T22,T41
U40,4,0,0,52,T8,T44,T1,T20,T48
U41,34,1,23,94.4,T34,T31,T4,T48,T36
U42,8,0,0,99.8,T4,T48,T32,T26,T7
U43,13,0,0,102.2,T41,T31,T4,T36,T8
U44,5,1,21,100.6,T4,T42,T31,T8,T30
U45,11,2,2,105.8,T31,T32,T4,T0,T36
U46,333,1,0,82.4,T37,T4,T31,T28,T22
U47,24,0,0,117.4,T8,T4,T45,T32,T48
U48,13,11,80,16.8,T16,T26,T17,T43,T13
U49,10,1,5,36,T48,T22,T13,T34,T40
U50,39,0,0,100.6,T32,T8,T4,T0,T19
U51,8,0,0,48.2,T23,T22,T7,T26,T32
U52,9,0,0,95.2,T9,T32,T5,T4,T48
U53,3,3,17,84.2,T4,T40,T17,T30,T8
U54,11,3,31,72,T34,T4,T8,T46,T2
U55,10,0,0,101.4,T8,T34,T4,T17,T32
U56,20,0,0,97.6,T22,T32,T48,T4,T0
U57,15,0,0,96.4,T17,T4,T48,T8,T40
U58,9,1,0,124.8,T31,T32,T4,T8,T0
U59,7,0,0,85,T31,T4,T36,T5,T28
U60,4,5,44,79.8,T30,T38,T21,T4,T8
U61,9,5,50,80.6,T48,T11,T26,T31,T32
U62,58,1,6,111,T35,T31,T4,T8,T48
U63,12,0,0,58.4,T17,T4,T22,T7,T39
U64,5,2,29,79.4,T41,T4,T32,T0,T33
U65,12,0,0,86.8,T41,T4,T30,T32,T9
U66,19,0,0,94.6,T39,T4,T7,T8,T48
U67,22,2,36,51.4,T36,T42,T8,T18,T28
U68,13,3,45,106.8,T7,T32,T4,T22,T8
U69,9,0,0,108.2,T28,T8,T42,T32,T4
U70,12,4,36,102.2,T23,T30,T32,T8,T4
U71,47,2,37,108.2,T8,T33,T32,T28,T4
U72,18,2,13,107.2,T4,T31,T45,T28,T8
U73,8,0,0,60.2,T48,T10,T45,T17,T32
U74,13,0,0,99.2,T22,T4,T32,T9,T48
U75,6,0,0,80.4,T8,T48,T18,T38,T31
U76,10,0,0,97.4,T33,T4,T42,T31,T32
U77,48,0,0,24.2,T46,T38,T40,T36,T44
U78,127,2,0,74.2,T31,T47,T4,T15,T36
U79,56,1,8,99.8,T8,T9,T4,T48,T30
U80,23,1,23,67,T8,T36,T31,T19,T22
U81,11,0,0,83.8,T32,T38,T36,T4,T41
U82,7,0,0,68.8,T48,T28,T0,T31,T3
U83,56,3,28,118,T22,T31,T4,T32,T48
U84,81,7,102,87.4,T4,T28,T8,T30,T33
U85,1,5,18,69.6,T8,T1,T33,T4,T42
U86,28,2,13,66,T36,T46,T7,T8,T48
U87,110,0,0,89.2,T10,T4,T48,T45,T31
U88,11,0,0,102.8,T32,T4,T31,T22,T38
U89,5,0,0,91.8,T4,T32,T33,T49,T48
U90,16,2,14,101.6,T9,T39,T8,T4,T32
U91,11,0,0,123.8,T31,T8,T32,T41,T4
U92,12,0,0,105,T4,T32,T22,T31,T9
U93,118,10,75,49.4,T6,T30,T40,T31,T36
U94,11,0,0,68.4,T15,T4,T48,T0,T12
U95,6,1,43,60.2,T37,T4,T17,T7,T36
U96,5,1,6,116,T31,T32,T48,T4,T34
U97,19,1,9,91.6,T4,T22,T31,T21,T48
U98,27,7,82,65.8,T48,T41,T28,T8,T47
U99,7,1,27,101.6,T41,T32,T4,T45,T31
U100,0,2,9,106.6,T30,T17,T4,T32,T8
U101,16,0,0,75.4,T28,T8,T31,T9,T33
U102,5,4,38,99.4,T8,T4,T31,T9,T19
U103,13,0,0,91.2,T41,T48,T8,T18,T4
U104,2,5,65,84.2,T36,T32,T30,T18,T4
U105,88,3,16,78,T26,T45,T4,T32,T3
U106,6,0,0,88.2,T31,T32,T2,T45,T8
U107,19,0,0,71.4,T31,T4,T12,T2,T21
U108,14,0,0,78.2,T28,T31,T32,T21,T9
U109,31,1,12,59,T7,T31,T36,T3,T28
U110,33,1,4,115.8,T4,T48,T31,T46,T32
U111,1,2,22,99.2,T32,T22,T4,T36,T48
U112,15,2,15,93.8,T32,T0,T4,T47,T48
U113,7,1,7,79.8,T9,T26,T28,T8,T32
U114,26,2,32,53.2,T18,T28,T31,T7,T46
U115,69,3,58,126,T32,T28,T48,T31,T4
U116,52,3,23,111.4,T4,T28,T32,T31,T0
U117,11,1,16,82.6,T14,T8,T31,T48,T36
U118,23,0,0,94,T2,T48,T4,T9,T8
U119,7,2,10,99,T48,T4,T31,T20,T28
U120,9,1,24,114,T4,T8,T30,T28,T32
U121,38,2,20,92.4,T2,T16,T32,T48,T4
U122,29,6,58,61.2,T36,T26,T43,T48,T8
U123,14,0,0,99.4,T4,T49,T26,T32,T8
U124,16,4,27,99.2,T30,T45,T32,T48,T4
U125,25,1,3,45.2,T19,T30,T20,T8,T40
U126,38,1,1,83.2,T48,T31,T32,T12,T41
U127,59,0,0,123.4,T8,T28,T31,T4,T48
U128,127,4,18,125.6,T32,T4,T8,T40,T31
U129,17,0,0,100.2,T48,T8,T28,T4,T34
U130,66,12,196,97.6,T4,T38,T2,T31,T8
U131,22,24,230,120.6,T8,T32,T4,T48,T9
U132,16,13,103,110,T4,T7,T30,T8,T32
U133,22,0,0,84,T31,T7,T41,T40,T4
U134,58,1,6,14.8,T14,T38,T45,T35,T21
U135,14,2,11,116.4,T48,T8,T16,T4,T32
U136,19,1,2,114.4,T39,T31,T48,T4,T32
U137,352,1,13,64.8,T49,T8,T29,T0,T32
U138,17,0,0,97.8,T6,T31,T4,T32,T45
U139,6,1,15,48.6,T8,T36,T40,T38,T43
U140,7,2,0,85.6,T4,T3,T31,T17,T28
U141,11,1,3,65.8,T48,T8,T49,T9,T7
U142,4,0,0,69.6,T30,T45,T32,T20,T31
U143,15,1,6,91.4,T49,T32,T48,T8,T28
U144,12,2,8,68.4,T2,T0,T22,T31,T32
U145,12,0,0,94,T11,T31,T4,T48,T7
U146,124,3,21,66.4,T31,T36,T11,T32,T12
U147,147,5,92,89.6,T5,T28,T31,T48,T32
U148,7,1,5,76.8,T20,T0,T4,T38,T8
U149,5,0,0,92.6,T32,T0,T28,T4,T9
U150,9,2,20,79.6,T4,T21,T16,T32,T9
U151,25,1,13,127.2,T31,T4,T32,T8,T30
U152,14,0,0,88,T9,T38,T32,T4,T7
U153,23,0,0,113.6,T16,T31,T4,T48,T8
U154,5,0,0,55.6,T4,T40,T22,T3,T16
U155,8,0,0,92,T48,T14,T17,T4,T8
U156,7,2,28,86.8,T26,T32,T7,T36,T4
U157,40,1,20,62,T3,T48,T49,T40,T32
U158,6,2,4,106.4,T28,T40,T32,T48,T4
U159,161,2,9,97.2,T0,T31,T48,T36,T4
U160,54,4,20,115.6,T31,T21,T48,T4,T32
U161,5,0,0,83.2,T4,T30,T32,T47,T9
U162,4,1,2,81.8,T38,T15,T30,T4,T32
U163,78,11,98,67.4,T28,T17,T4,T7,T33
U164,13,0,0,88,T8,T28,T15,T48,T31
U165,23,3,36,89.8,T16,T48,T4,T31,T49
U166,12,1,10,86.4,T4,T7,T48,T40,T28
U167,44,3,18,98.6,T46,T48,T7,T32,T4
U168,11,0,0,116,T48,T4,T31,T8,T17
U169,17,2,17,82.6,T4,T3,T30,T31,T9
U170,9,3,12,105.6,T32,T48,T28,T4,T0
U171,11,0,0,60.6,T3,T28,T4,T45,T49
U172,16,1,6,99.6,T8,T31,T4,T34,T40
U173,11,0,0,78.2,T48,T17,T4,T40,T30
U174,13,0,0,64.4,T8,T9,T14,T18,T31
U175,14,1,22,103.4,T9,T16,T8,T32,T4
U176,17,1,1,60.6,T34,T44,T8,T31,T12
U177,28,2,34,104.4,T32,T31,T4,T7,T12
U178,6,1,4,82.6,T48,T7,T12,T28,T4
U179,56,1,3,76.8,T46,T32,T17,T4,T20
U180,18,1,86,99.2,T30,T45,T48,T4,T32
U181,11,1,10,66.8,T34,T48,T4,T38,T37
U182,50,7,125,105.2,T4,T44,T31,T28,T8
U183,2,1,14,80,T8,T41,T14,T31,T48
U184,3,1,6,89.6,T31,T7,T4,T26,T28
U185,9,3,29,62.8,T32,T0,T48,T21,T22
U186,35,0,0,121.4,T33,T31,T4,T32,T8
U187,2,4,30,68.2,T43,T12,T48,T32,T28
U188,27,6,19,54.4,T6,T8,T40,T28,T9
U189,4,5,21,101.6,T8,T32,T0,T34,T4
U190,5,2,27,108.2,T40,T7,T32,T31,T4
U191,14,5,58,104.2,T4,T32,T7,T8,T2
U192,44,0,0,58.6,T26,T48,T38,T31,T12
U193,22,0,0,78,T15,T17,T8,T4,T40
U194,10,0,0,61.8,T40,T41,T48,T5,T32
U195,12,2,29,47.6,T41,T31,T36,T3,T0
U196,34,3,21,59,T31,T12,T48,T44,T36
U197,20,3,44,100.2,T33,T4,T31,T38,T32
U198,5,1,13,78.6,T4,T48,T28,T0,T19
U199,9,1,8,62.4,T48,T7,T17,T23,T31
U200,11,2,9,57,T26,T45,T48,T8,T19
U201,17,1,10,82.6,T26,T32,T16,T7,T4
U202,82,2,33,78.4,T21,T41,T4,T9,T31
U203,22,0,0,124.8,T31,T8,T4,T0,T32
U204,9,0,0,68.2,T42,T1,T11,T4,T8
U205,31,2,4,114.6,T31,T28,T4,T32,T7
U206,3,0,4,101.4,T8,T31,T42,T4,T7
U207,13,8,126,121.2,T31,T32,T4,T48,T30
U208,7,0,0,90.4,T8,T27,T30,T31,T32
U209,9,1,5,76.2,T8,T39,T20,T4,T7
U210,65,8,87,94,T41,T42,T48,T32,T4
U211,17,1,0,50.2,T4,T3,T9,T47,T37
U212,6,0,0,83.2,T40,T32,T4,T9,T46
U213,10,0,0,103,T4,T9,T31,T8,T17
U214,15,1,1,96.4,T8,T27,T0,T4,T31
U215,5,5,33,26.6,T7,T30,T2,T22,T15
U216,16,2,22,103.4,T4,T17,T32,T38,T31
U217,45,0,0,110.4,T31,T8,T4,T28,T9
U218,13,3,23,119.6,T27,T32,T8,T31,T4
U219,21,1,14,88.6,T31,T8,T19,T32,T22
U220,10,1,3,102.8,T32,T6,T8,T7,T4
U221,7,0,0,73.8,T38,T28,T31,T43,T8
U222,12,1,11,51.6,T7,T30,T31,T45,T26
U223,8,0,0,111,T4,T32,T8,T38,T28
U224,9,6,35,73,T17,T4,T48,T40,T43
U225,5,1,20,62,T4,T40,T33,T28,T21
U226,17,1,2,79.6,T41,T9,T4,T32,T6
U227,15,0,0,59.6,T40,T38,T48,T10,T8
U228,29,0,0,115.6,T4,T8,T31,T38,T48
U229,16,1,26,65.4,T32,T20,T31,T0,T2
U230,5,0,0,97.8,T38,T48,T32,T4,T0
U231,10,0,0,76.8,T41,T32,T2,T4,T16
U232,39,4,44,63.6,T30,T46,T14,T4,T28
U233,13,0,0,101.2,T4,T40,T31,T32,T15
U234,25,1,0,99.6,T31,T18,T9,T4,T8
U235,10,1,8,102.2,T26,T30,T8,T4,T31
U236,10,2,5,52.2,T40,T28,T16,T8,T43
U237,16,0,0,99.6,T4,T31,T48,T30,T9
U238,12,1,20,103.8,T30,T17,T4,T31,T8
U239,76,3,17,86.8,T11,T31,T45,T32,T8
U240,284,73,1126,37.2,T43,T8,T32,T49,T7
U241,16,1,5,126.2,T24,T44,T1,T36,T8
U242,45,17,76,101,T4,T8,T48,T32,T28
U243,9,0,0,104.8,T28,T22,T4,T32,T48
U244,79,1,29,64.4,T35,T49,T32,T8,T0
U245,9,0,0,96.4,T8,T42,T32,T23,T4
U246,26,0,0,93,T18,T4,T8,T48,T40
U247,3,1,3,74,T30,T32,T36,T8,T43
U248,7,1,4,43.6,T29,T43,T8,T0,T36
U249,4,0,0,102.8,T8,T7,T4,T32,T13
U250,6,7,78,109,T28,T32,T16,T4,T8
U251,5,1,10,114.4,T4,T23,T48,T32,T8
U252,5,2,7,89.4,T7,T31,T48,T36,T8
U253,8,1,41,106.6,T4,T30,T32,T31,T0
U254,5,0,0,118.8,T32,T4,T17,T8,T48
U255,14,2,19,83.8,T4,T28,T31,T20,T38
U256,5,10,48,108.4,T4,T32,T49,T8,T28
U257,10,5,64,108,T33,T31,T28,T4,T32
U258,47,1,24,121,T20,T4,T32,T8,T31
U259,9,0,0,112.2,T4,T32,T28,T40,T31
U260,16,2,29,72.2,T31,T0,T32,T18,T7
U261,76,1,65,88.2,T14,T8,T28,T48,T31
U262,43,1,18,37.4,T8,T44,T41,T43,T1
U263,16,0,0,51.4,T26,T7,T32,T30,T47
U264,16,0,0,34.8,T10,T40,T28,T7,T38
U265,14,0,0,59.6,T40,T31,T34,T48,T3
U266,24,2,34,72,T21,T3,T30,T48,T4
U267,10,2,27,64.6,T34,T22,T8,T31,T26
U268,15,1,24,59,T22,T28,T31,T9,T36
U269,7,0,0,122.2,T8,T4,T32,T31,T16
U270,18,0,0,57,T28,T43,T31,T36,T9
U271,39,0,0,103,T8,T17,T4,T9,T31
U272,4,9,44,62,T8,T30,T48,T26,T43
U273,40,4,38,97.4,T2,T31,T32,T4,T42
U274,19,3,7,45,T21,T40,T44,T31,T36
U275,9,0,0,54.6,T39,T32,T48,T46,T29
U276,17,0,0,45.4,T0,T29,T14,T32,T36
U277,0,5,39,78.4,T32,T4,T36,T42,T44
U278,6,0,0,63.8,T41,T32,T46,T13,T31
U279,6,4,60,58.6,T34,T31,T7,T9,T28
